InstanceName,NativeAttributeName,AggregationStatisticCV,IntervalTimeUnitName,AggregationInterval,SourceName,ScenarioName,UnitName,Value
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1972,1762.63172
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1973,1506.482527
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1974,1518.517473
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1975,663.3857527
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1976,1217.643817
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1977,497.1733871
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1978,819.0268817
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1979,563.5282258
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1980,566.4556452
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1981,439.2755376
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1982,787.1505376
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1983,1912.905914
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1984,1956.491935
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1985,1752.873656
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1986,2908.06586
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1987,899.0430108
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1988,494.8965054
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1989,733.969086
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1990,484.6505376
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1991,277.4543011
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1992,466.7607527
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1993,634.1115591
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1994,681.2755376
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1995,800.811828
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1996,524.0080645
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1997,1152.427419
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1998,1615.447581
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/1999,1604.551075
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/2000,856.7580645
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/2001,636.5510753
Bear River,Headflow,Average,cubic feet per second,1,month,BaseCaseLower,3/1/2002,353.8924731
